,symbol,timestamp,timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,circulatingSupply
1455,UST,2024-11-19 23:59:59,2024-11-19 00:00:00,2024-11-19 23:59:59,2024-11-19 06:51:00,2024-11-19 21:26:00,0.0236501116,0.0239110153,0.022360297,0.0230692548,16065312.22,128363195.16,5564254088.56
1456,UST,2024-11-20 23:59:59,2024-11-20 00:00:00,2024-11-20 23:59:59,2024-11-20 04:17:00,2024-11-20 19:26:00,0.0230692548,0.0231089227,0.0215407547,0.0219025654,18361751.21,121870148.98,5564209228.91
1457,UST,2024-11-21 23:59:59,2024-11-21 00:00:00,2024-11-21 23:59:59,2024-11-21 17:02:00,2024-11-21 02:43:00,0.0219025101,0.024787535,0.0211124146,0.023608259,31016885.61,131359665.02,5564140280.57
1458,UST,2024-11-22 23:59:59,2024-11-22 00:00:00,2024-11-22 23:59:59,2024-11-22 06:12:00,2024-11-22 13:31:00,0.023608259,0.0247324984,0.0228785979,0.0240277201,35165634.72,133692997.64,5564115003.12
1459,UST,2024-11-23 23:59:59,2024-11-23 00:00:00,2024-11-23 23:59:59,2024-11-23 16:10:00,2024-11-23 00:02:00,0.0240277201,0.025639645,0.0240111549,0.0250058869,40628093.15,139134891.52,5564085441.87
1460,UST,2024-11-24 23:59:59,2024-11-24 00:00:00,2024-11-24 23:59:59,2024-11-24 04:25:00,2024-11-24 16:02:00,0.0250058869,0.0259353803,0.0232267447,0.0250476191,29005239.36,139377025.82,5564043672.78
1461,UST,2024-11-25 23:59:59,2024-11-25 00:00:00,2024-11-25 23:59:59,2024-11-25 02:47:00,2024-11-25 22:41:00,0.0250474351,0.026070391,0.0236551428,0.0240181127,25496676.65,133578182.74,5564028314.29
1462,UST,2024-11-26 23:59:59,2024-11-26 00:00:00,2024-11-26 23:59:59,2024-11-26 02:37:00,2024-11-26 11:46:00,0.0240074592,0.0247715936,0.0224108077,0.0236280547,17627924.42,131466799.79,5564012837.02
1463,UST,2024-11-27 23:59:59,2024-11-27 00:00:00,2024-11-27 23:59:59,2024-11-27 23:45:00,2024-11-27 01:05:00,0.0236280547,0.0250678758,0.0233083503,0.0249631549,12967663.4,138893008.09,5563920441.98
1464,UST,2024-11-28 23:59:59,2024-11-28 00:00:00,2024-11-28 23:59:59,2024-11-28 22:25:00,2024-11-28 11:35:00,0.0249631549,0.0261102365,0.0245204492,0.0254181984,28094801.75,141422130.5,5563807157.57
1465,UST,2024-11-29 23:59:59,2024-11-29 00:00:00,2024-11-29 23:59:59,2024-11-29 20:23:00,2024-11-29 07:34:00,0.0254182301,0.0256713298,0.0245490934,0.0255529548,20234389.11,142170294.31,5563751651.4
1466,UST,2024-11-30 23:59:59,2024-11-30 00:00:00,2024-11-30 23:59:59,2024-11-30 16:11:00,2024-11-30 11:02:00,0.0255529548,0.0277874725,0.0252132439,0.026925524,42331334.55,149805847.48,5563711502.4
1467,UST,2024-12-01 23:59:59,2024-12-01 00:00:00,2024-12-01 23:59:59,2024-12-01 00:16:00,2024-12-01 20:33:00,0.026925524,0.0269630524,0.0256460177,0.0261066435,26253788.31,145245657.77,5563551579.91
1468,UST,2024-12-02 23:59:59,2024-12-02 00:00:00,2024-12-02 23:59:59,2024-12-02 20:52:00,2024-12-02 11:13:00,0.0261066435,0.0269846508,0.0243813486,0.0265599994,34539830.76,147765542.72,5563461832.94
1469,UST,2024-12-03 23:59:59,2024-12-03 00:00:00,2024-12-03 23:59:59,2024-12-03 23:17:00,2024-12-03 07:05:00,0.0265602559,0.0287642668,0.0264556785,0.0287276435,68438383.19,159823527.37,5563405419.42
1470,UST,2024-12-04 23:59:59,2024-12-04 00:00:00,2024-12-04 23:59:59,2024-12-04 11:58:00,2024-12-04 02:48:00,0.0287276435,0.0314963473,0.0277923791,0.0288744111,60954394.08,160633344.44,5563222437.44
1471,UST,2024-12-05 23:59:59,2024-12-05 00:00:00,2024-12-05 23:59:59,2024-12-05 14:26:00,2024-12-05 01:28:00,0.0288741545,0.0308774903,0.0272714734,0.0291875183,57609454.6,162376873.76,5563116655.33
1472,UST,2024-12-06 23:59:59,2024-12-06 00:00:00,2024-12-06 23:59:59,2024-12-06 22:20:00,2024-12-06 13:30:00,0.0290952449,0.0317845646,0.028101087,0.0310342118,35196519.38,172645690.05,5563076357.71
1473,UST,2024-12-07 23:59:59,2024-12-07 00:00:00,2024-12-07 23:59:59,2024-12-07 00:12:00,2024-12-07 22:12:00,0.0310342118,0.0312608321,0.0291289658,0.0293964087,25076030.01,163532775.5,5563018842.08
1474,UST,2024-12-08 23:59:59,2024-12-08 00:00:00,2024-12-08 23:59:59,2024-12-08 03:21:00,2024-12-08 09:57:00,0.0297288982,0.0303941519,0.0287612162,0.0295473441,17883993.81,164370625.12,5562954706.43
1475,UST,2024-12-09 23:59:59,2024-12-09 00:00:00,2024-12-09 23:59:59,2024-12-09 00:00:00,2024-12-09 21:07:00,0.0296248729,0.0296248729,0.020473789,0.0235198165,40267847.21,130838524.98,5562905848.19
1476,UST,2024-12-10 23:59:59,2024-12-10 00:00:00,2024-12-10 23:59:59,2024-12-10 00:40:00,2024-12-10 18:04:00,0.0235198165,0.0239551115,0.020680688,0.0222593365,34178992.64,123825750.41,5562867997.59
1477,UST,2024-12-11 23:59:59,2024-12-11 00:00:00,2024-12-11 23:59:59,2024-12-11 23:31:00,2024-12-11 02:05:00,0.0222593365,0.024425548,0.0213795531,0.0243161182,17284681.35,135266202.38,5562820561.53
1478,UST,2024-12-12 23:59:59,2024-12-12 00:00:00,2024-12-12 23:59:59,2024-12-12 18:07:00,2024-12-12 00:52:00,0.0243161182,0.0255806842,0.0239402463,0.0248122406,19817799.49,138025309.62,5562791034.77
1479,UST,2024-12-13 23:59:59,2024-12-13 00:00:00,2024-12-13 23:59:59,2024-12-13 02:49:00,2024-12-13 07:08:00,0.0248122406,0.025111518,0.0239372341,0.0245185579,11211103.91,136390857.75,5562760192.58
1480,UST,2024-12-14 23:59:59,2024-12-14 00:00:00,2024-12-14 23:59:59,2024-12-14 01:26:00,2024-12-14 18:56:00,0.0245185579,0.0249167664,0.0228250872,0.0232015118,11272118.61,129063531.44,5562720752.7
1481,UST,2024-12-15 23:59:59,2024-12-15 00:00:00,2024-12-15 23:59:59,2024-12-15 23:55:00,2024-12-15 07:45:00,0.0232015118,0.0240758731,0.0225971829,0.0240053987,11720628.74,133534869.56,5562701600.22
1482,UST,2024-12-16 23:59:59,2024-12-16 00:00:00,2024-12-16 23:59:59,2024-12-16 01:03:00,2024-12-16 13:08:00,0.0240053987,0.0244921615,0.0225126334,0.0233779949,17234234.04,130044293.63,5562679530.81
1483,UST,2024-12-17 23:59:59,2024-12-17 00:00:00,2024-12-17 23:59:59,2024-12-17 03:58:00,2024-12-17 23:16:00,0.0233779949,0.0234320842,0.0217200561,0.021997905,13307662.54,122363027.93,5562666651.35
1484,UST,2024-12-18 23:59:59,2024-12-18 00:00:00,2024-12-18 23:59:59,2024-12-18 00:11:00,2024-12-18 20:12:00,0.0219971887,0.0220631002,0.0196681454,0.019851626,21740575.55,110427854.13,5562660403.94
1485,UST,2024-12-19 23:59:59,2024-12-19 00:00:00,2024-12-19 23:59:59,2024-12-19 10:56:00,2024-12-19 20:15:00,0.019851626,0.0203845326,0.0179416132,0.018777156,22516564.69,104450267.11,5562624438.06
1486,UST,2024-12-20 23:59:59,2024-12-20 00:00:00,2024-12-20 23:59:59,2024-12-20 02:45:00,2024-12-20 12:02:00,0.0187767823,0.0194659033,0.0163930573,0.0191614809,20341393.76,106587481.15,5562591010.33
1487,UST,2024-12-21 23:59:59,2024-12-21 00:00:00,2024-12-21 23:59:59,2024-12-21 07:48:00,2024-12-21 22:16:00,0.0191614809,0.0200908742,0.0178451001,0.0181219676,11758321.64,100804704.29,5562569495.64
