timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2022-07-09T00:00:00.000Z";"2022-07-09T23:59:59.999Z";"2022-07-09T11:28:00.000Z";"2022-07-09T02:55:00.000Z";"2781";0.0500153887;0.0500275796;0.0478088991;0.0487516088;22999509.99;478519148.3;9815453485.98;"2022-07-09T23:59:59.999Z"
"2022-07-08T00:00:00.000Z";"2022-07-08T23:59:59.999Z";"2022-07-08T00:05:00.000Z";"2022-07-08T19:19:00.000Z";"2781";0.0526136825;0.0528528927;0.0496761529;0.0500324304;25877081.42;491090993.02;9815453484.14;"2022-07-08T23:59:59.999Z"
"2022-07-07T00:00:00.000Z";"2022-07-07T23:59:59.999Z";"2022-07-07T15:16:00.000Z";"2022-07-07T11:17:00.000Z";"2781";0.0515760909;0.05651881;0.0489167289;0.0526168947;50033973.23;516458694.2;9815453707.42;"2022-07-07T23:59:59.999Z"
"2022-07-06T00:00:00.000Z";"2022-07-06T23:59:59.999Z";"2022-07-06T00:41:00.000Z";"2022-07-06T15:10:00.000Z";"2781";0.0570727368;0.0587672633;0.0484936412;0.0516000737;52320572.91;506478136.37;9815453736.64;"2022-07-06T23:59:59.999Z"
"2022-07-05T00:00:00.000Z";"2022-07-05T23:59:59.999Z";"2022-07-05T00:00:00.000Z";"2022-07-05T19:17:00.000Z";"2781";0.0644940919;0.0644940919;0.0552047984;0.0570766442;58561680.93;560233043.87;9815451691.79;"2022-07-05T23:59:59.999Z"
"2022-07-04T00:00:00.000Z";"2022-07-04T23:59:59.999Z";"2022-07-04T00:23:00.000Z";"2022-07-04T05:04:00.000Z";"2781";0.0656216578;0.0682538457;0.0628503856;0.0645308876;76004322.79;661720726.94;10254325515.55;"2022-07-04T23:59:59.999Z"
"2022-07-03T00:00:00.000Z";"2022-07-03T23:59:59.999Z";"2022-07-03T23:58:00.000Z";"2022-07-03T01:52:00.000Z";"2781";0.0566085814;0.0657459132;0.0551420012;0.0656049807;80395876.7;672734752.86;10254324383.58;"2022-07-03T23:59:59.999Z"
"2022-07-02T00:00:00.000Z";"2022-07-02T23:59:59.999Z";"2022-07-02T00:55:00.000Z";"2022-07-02T03:44:00.000Z";"2781";0.0636266331;0.0649493928;0.0539234086;0.056614173;166359782.49;580540096.28;10254324410.29;"2022-07-02T23:59:59.999Z"
"2022-07-01T00:00:00.000Z";"2022-07-01T23:59:59.999Z";"2022-07-01T23:04:00.000Z";"2022-07-01T17:37:00.000Z";"2781";0.0468062761;0.0696216503;0.0413621001;0.0635269212;174358602.68;651425658.39;10254324408.38;"2022-07-01T23:59:59.999Z"
"2022-06-30T00:00:00.000Z";"2022-06-30T23:59:59.999Z";"2022-06-30T00:01:00.000Z";"2022-06-30T23:23:00.000Z";"2781";0.0809772201;0.0812162401;0.0441473209;0.0468143029;199019652.97;480049046.92;10254324366.35;"2022-06-30T23:59:59.999Z"
